"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"5-6","3","1","1","2",0.417940329610005,0
"7-8-9","3","1","1","2",0.230985742418426,0
"10","3","1","1","2",0.147897641650186,0
"11-12","3","1","1","2",2.61330681002316e-07,0
"1-2-3","4","1","1","2",4.03522078406474e-07,0
"4","4","1","1","2",2.31091214098637e-07,0
"5-6","4","1","1","2",3.77980701621889e-07,0
"7-8-9","4","1","1","2",1.58115240389152e-07,0
"10","4","1","1","2",9.13676512931021e-08,0
"11-12","4","1","1","2",1.37566767608092e-13,0
"1-2-3","5","1","1","2",0.874020040753326,0
"4","5","1","1","2",0.798920580057605,0
"5-6","5","1","1","2",0.866642421144681,0
"7-8-9","5","1","1","2",0.73107296103557,0
"10","5","1","1","2",0.611029192449776,0
"11-12","5","1","1","2",2.36518412800031e-06,0
"1-2-3","6","1","1","2",3.96115951725815e-07,0
"4","6","1","1","2",2.26849832554267e-07,0
"5-6","6","1","1","2",3.71043353756567e-07,0
"7-8-9","6","1","1","2",1.55213238627089e-07,0
"10","6","1","1","2",8.96907155229078e-08,0
"11-12","6","1","1","2",1.35041906228622e-13,0
