Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,yes,2,,,1.0,1,yes,no,V,L,A,53502
no,,,yes,2,,,1.0,1,yes,no,V,L,L,53505
no,,,yes,2,,,1.0,1,yes,no,V,L,L,53508
no,,,no,NA,,,0.0,1,yes,no,F,L,L,53513
no,,,no,NA,,,0.0,1,yes,no,F,L,L,53515
no,,,yes,5,,,1.0,1,yes,no,F,L,L,53517
no,,,no,NA,,,0.0,1,yes,no,F,L,L,53522
no,,,no,NA,,,0.0,1,yes,no,F,L,L,53524
no,,,yes,5,,,1.0,1,yes,no,F,L,L,53526
yes,05-01,4.0,,NA,yes,6.0,,9,no,no,V,L,A,53530
no,,,yes,6,,,5.0,1,yes,no,V,L,A,53531
no,,,yes,2,,,1.0,1,yes,no,V,L,L,53533
no,,,yes,4,,,1.0,1,yes,no,V,L,L,53535
no,,,yes,5,,,1.0,1,yes,no,V,L,L,53537
no,,,yes,3,,,1.0,1,yes,no,V,L,L,53539
no,,,yes,4,,,2.0,1,yes,no,V,L,L,53541
no,,,yes,5,,,1.0,1,yes,no,V,L,L,53543
yes,05-01,4.0,,NA,yes,4.0,,9,no,no,V,L,L,53546
no,,,yes,3,,,5.0,1,yes,no,V,L,A,53547
no,,,yes,5,,,1.0,1,yes,no,V,L,L,53549
no,,,yes,5,,,1.0,1,yes,no,V,L,L,53551
no,,,yes,4,,,1.0,1,yes,no,V,L,L,53553
no,,,yes,5,,,3.0,1,yes,no,V,L,L,53555
yes,05-01,3.0,,NA,no,,,10,no,no,F,A,A,53561
no,,,yes,3,,,4.0,1,yes,no,F,A,A,53562
no,,,yes,2,,,1.0,1,yes,no,F,A,L,53565
no,,,yes,3,,,1.0,1,yes,no,F,A,L,53568
no,,,yes,4,,,1.0,1,yes,no,F,A,L,53571
no,,,yes,6,,,1.0,1,yes,no,F,A,L,53574
no,,,yes,5,,,5.0,1,yes,no,F,A,L,53577
no,,,yes,5,,,1.0,1,yes,no,F,A,L,53580
no,,,yes,2,,,1.0,1,yes,no,F,A,L,53583
yes,05-01,4.0,,NA,yes,3.0,,9,no,no,V,L,A,53587
no,,,yes,4,,,5.0,1,yes,no,V,L,A,53588
no,,,yes,3,,,1.0,1,yes,no,V,L,L,53590
no,,,yes,6,,,3.0,1,yes,no,V,L,L,53592
no,,,yes,4,,,1.0,1,yes,no,V,L,L,53594
