Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
yes,10.0,no,,unknow,no,V,L,F6,55247
yes,10.0,no,,unknow,no,F,L,F6,55248
yes,12.0,yes,3.0,unknow,no,F,A,F6,55632
yes,12.0,yes,4.0,unknow,no,F,A,F6,55666
yes,12.0,yes,2.0,unknow,no,F,A,F6,55698
no,,,,unknow,no,V,A,F6,55719
yes,10.0,no,,unknow,no,V,A,F6,55720
yes,12.0,yes,4.0,unknow,no,F,A,F6,55724
no,,,,unknow,no,F,A,F6,55751
yes,12.0,yes,8.0,unknow,no,V,A,F6,55756
yes,12.0,yes,7.0,unknow,no,V,L,F6,55757
yes,12.0,yes,1.0,unknow,no,F,L,F6,55758
yes,12.0,yes,4.0,unknow,no,F,A,F6,55909
yes,12.0,yes,3.0,unknow,no,V,A,F6,55943
yes,12.0,yes,5.0,unknow,no,F,A,F6,55952
yes,10.0,no,,unknow,no,F,A,F6,56006
yes,10.0,no,,unknow,no,V,L,F6,56007
yes,10.0,no,,unknow,no,F,L,F6,56008
no,,,,unknow,no,F,L,F6,56009
yes,10.0,no,,unknow,no,V,L,F6,56010
yes,12.0,yes,2.0,unknow,no,F,L,F6,56011
yes,10.0,no,,unknow,no,V,L,F6,56012
